Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Vivobook 15 Intel Core i5-1235U 24GB 1TB SSD W11 PRO 15.6"" FHD + Mouse",ASUS,Ofis - İş,Mavi; Siyah,2 kg ve altı,Intel Core 5,210H,12. Nesil,10,4.4,24 GB,DDR4,Intel Iris Graphics,Dahili,Paylaşımlı,DDR5,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Windows,2025-12-03 01:50:15,28.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1235u-24gb-1tb-ssd-w11-pro-15-6-fhd-mouse-p-824111623?boutiqueId=61&merchantId=880551
Alfa 470c Gri Intel Celeron N4020 4 Gb 128 Gb Ssd 14.1 Hd Windows 10 Home Dizüstü Bilgisayar,Hometech,Ev - Okul,GRİ; Gri,2 - 4 kg,Intel Celeron,N4020,Belirtilmemiş,2,2.8,4 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,DDR,128 GB,HDD Yok,"14,1 inç",1366 x 768,HD Ready (HD),Belirtilmemiş,TN,Windows,2025-12-03 01:50:16,14.999 TL,https://www.trendyol.com/hometech/alfa-470c-gri-intel-celeron-n4020-4-gb-128-gb-ssd-14-1-hd-windows-10-home-dizustu-bilgisayar-p-142493119?boutiqueId=61&merchantId=993339
IdeaPad 3 11. Nesil Core i3 1115g4 8GB 256GB SSD 15. Inc W11 Gümüş,LENOVO,Ev - Okul,Gri,2 kg ve altı,Intel Core i3,1115G4,11. Nesil,Belirtilmemiş,,8 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Belirtilmemiş,256 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,,Windows,2025-12-03 01:50:17,18.999 TL,https://www.trendyol.com/lenovo/ideapad-3-11-nesil-core-i3-1115g4-8gb-256gb-ssd-15-inc-w11-gumus-p-318823753?boutiqueId=61&merchantId=1080756
"13"" MacBook Air:  M4 chip with 10-core CPU and 8-core GPU, 16GB, 256GB SSD - Yıldız Işığı",Apple,Ofis - İş,Starlight; Gri,2 kg ve altı,Apple M4,Apple M4,4. Nesil,10,,16 GB,Birleşik Bellek,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,256 GB,HDD Yok,"13,6 inç",2560 x 1664,Ultra HD 4K (UHD),60 Hz,IPS,Mac Os,2025-12-03 01:50:18,45.183 TL,https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-8-core-gpu-16gb-256gb-ssd-yildiz-isigi-p-904728359?boutiqueId=61&merchantId=141868
"Nb V15 G3 i5-1235U 16GB 512GB SSD 15.6"" FHD Freedos Taşınabilir Bilgisayar 82TT00A6TX003",LENOVO,Ofis - İş,Siyah,2 kg ve altı,Intel Core i5,1235U,12. Nesil,10,,16 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:20,26.899 TL,https://www.trendyol.com/lenovo/nb-v15-g3-i5-1235u-16gb-512gb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-82tt00a6tx003-p-744745792?boutiqueId=61&merchantId=153128
"Aspire Lite AL15-32P Intel Celeron-N4500 4GB 128GB SSD 15.6"" FHD Windows 11 Home Dizüstü Bilgisayar",ACER,Ofis - İş,,2 kg ve altı,Intel Celeron,N4000,13. Nesil,8,,4 GB,DDR4,Intel HD Graphics,Dahili,Paylaşımlı,Dahili,128 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Windows,2025-12-03 01:50:22,8.999 TL,https://www.trendyol.com/acer/aspire-lite-al15-32p-intel-celeron-n4500-4gb-128gb-ssd-15-6-fhd-windows-11-home-dizustu-bilgisayar-p-921524970?boutiqueId=61&merchantId=106740
"Macbook Air 13.6"" M2 8c Cpu 10c Gpu 8 Gb 512 Gb Ssd Uzay Grisi",Apple,Ofis - İş,Çok Renkli,2 kg ve altı,Apple M2,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,4.2,,Belirtilmemiş,M2 8 Çekirdekli,Dahili,Paylaşımlı,Belirtilmemiş,,HDD Yok,13 inç,2550 x 1600,Ultra HD 4K (UHD),Belirtilmemiş,,Mac Os,2025-12-03 01:50:23,43.640 TL,https://www.trendyol.com/apple/macbook-air-13-6-m2-8c-cpu-10c-gpu-8-gb-512-gb-ssd-uzay-grisi-p-337376582?boutiqueId=61&merchantId=141868
CYBORG 15 A13VF-895XTR i5-13420H 16GB DDR5 1TB SSD RTX4060 8GB 15.6 inç 144Hz FHD Fdos Laptop,MSI,Oyun,Siyah,2 - 4 kg,Intel Core i5,13420H,13. Nesil,8,4.6,16 GB,DDR5,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:24,47.999 TL,https://www.trendyol.com/msi/cyborg-15-a13vf-895xtr-i5-13420h-16gb-ddr5-1tb-ssd-rtx4060-8gb-15-6-inc-144hz-fhd-fdos-laptop-p-804737263?boutiqueId=61&merchantId=794618
"Nirvana C550.1235-BV00X-G-F Intel Core i5-1235U 16GB RAM 500GB NVMe SSD FREEDOS 15.6"" Laptop",CASPER,Ofis - İş,Koyu Gri; Gri,2 kg ve altı,Intel Core i5,1235U,12. Nesil,10,4.4,16 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,DDR4,500 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:25,35.999 TL,https://www.trendyol.com/casper/nirvana-c550-1235-bv00x-g-f-intel-core-i5-1235u-16gb-ram-500gb-nvme-ssd-freedos-15-6-laptop-p-740918586?boutiqueId=61&merchantId=797201
"IdeaPad Slim3 IntelCore i5-12450H 16GB 512GB SSD DOS 15.6"" Arctic Grey Dizüstü Bilgisayar 83ER008KTR",LENOVO,Ofis - İş,Gri,2 kg ve altı,Intel Core i5,12450H,12. Nesil,8,4.4,16 GB,LPDDR5,Intel UHD Graphics,Dahili,Paylaşımlı,Belirtilmemiş,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:26,25.999 TL,https://www.trendyol.com/lenovo/ideapad-slim3-intelcore-i5-12450h-16gb-512gb-ssd-dos-15-6-arctic-grey-dizustu-bilgisayar-83er008ktr-p-792009187?boutiqueId=61&merchantId=1007811
"Matebook D14 2024 Intel Core i5 12450H 8GB 512GB SSD Windows 11 Home 14"" IPS",Huawei,Ev - Okul,SPACE GRAY; Siyah,2 kg ve altı,Intel Core i5,12450H,12. Nesil,8,,8 GB,LPDDR4X,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,14 inç,1920 x 1200,Full HD (FHD),Belirtilmemiş,IPS,Windows,2025-12-03 01:50:27,23.999 TL,https://www.trendyol.com/huawei/matebook-d14-2024-intel-core-i5-12450h-8gb-512gb-ssd-windows-11-home-14-ips-p-816046812?boutiqueId=61&merchantId=107007
20284057 Ideapad 3 Celeron 15ıgl05 (81WQ) N4020 4128 Gb 4g 15.6 W10 Home Taşınabilir Bilgisay,LENOVO,Ofis - İş,Platinum Grey; Gri,2 kg ve altı,Intel Celeron,N4000,8. Nesil,2,2.0,4 GB,DDR4,Nvidia GeForce MX130,Dahili,4 GB ve altı,DDR4,128 GB,128 GB,"15,6 inç",1366 x 768,Full HD (FHD),Belirtilmemiş,,Windows,2025-12-03 01:50:28,10.999 TL,https://www.trendyol.com/lenovo/20284057-ideapad-3-celeron-15igl05-81wq-n4020-4128-gb-4g-15-6-w10-home-tasinabilir-bilgisay-p-319068372?boutiqueId=61&merchantId=557390
"IdeaPad Slim 3 Ryzen 3 7320U 8GB 512GB SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar 82XQ00JGTX",LENOVO,Ofis - İş,Gri,2 kg ve altı,AMD Ryzen 3,7320U,Belirtilmemiş,4,4.1,8 GB,LPDDR5,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:30,15.092 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-ryzen-3-7320u-8gb-512gb-ssd-15-6-fhd-freedos-dizustu-bilgisayar-82xq00jgtx-p-860978208?boutiqueId=61&merchantId=1126939
"Excalibur G870 i5-13420H 16GB 1TB 6GB RTX4050 165Hz 15.6"" Freedos Gaming Laptop G870.1342-BFA0X-C",CASPER,Oyun,Siyah; Gri,2 - 4 kg,Intel Core i5,13420H,13. Nesil,8,4.6,16 GB,DDR4,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),165 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:31,44.999 TL,https://www.trendyol.com/casper/excalibur-g870-i5-13420h-16gb-1tb-6gb-rtx4050-165hz-15-6-freedos-gaming-laptop-g870-1342-bfa0x-c-p-672181043?boutiqueId=61&merchantId=141868
"TUF Gaming F16 FX607VJ Core 5 210H 32GB RAM 1TB SSD Rtx3050 16"" WUXGA W11 PRO",ASUS,Oyun,Gri,2 - 4 kg,Intel Core i5,210H,14. Nesil,8,4.8,32 GB,DDR4,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,1 TB,HDD Yok,16 inç,1920 x 1080,WUXGA,144 Hz,IPS,Windows,2025-12-03 01:50:32,39.999 TL,https://www.trendyol.com/asus/tuf-gaming-f16-fx607vj-core-5-210h-32gb-ram-1tb-ssd-rtx3050-16-wuxga-w11-pro-p-808573377?boutiqueId=61&merchantId=121474
CYBORG 15 A13VE-1478XTR i5-13420H 16GB 1TB SSD 6GB RTX4050 144Hz FreeDos,MSI,Oyun,Açık Siyah; Siyah,2 kg ve altı,Intel Core i5,13420H,13. Nesil,8,4.6,16 GB,DDR5,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:33,38.789 TL,https://www.trendyol.com/msi/cyborg-15-a13ve-1478xtr-i5-13420h-16gb-1tb-ssd-6gb-rtx4050-144hz-freedos-p-857886335?boutiqueId=61&merchantId=1126939
"Nitro V 15 ANV15-51 Intel I5-13420H 8GB 1TB SSD 6GB RTX4050 15.6""FHD IPS 144hz Freedos",ACER,Oyun,siyah; Siyah,2 - 4 kg,Intel Core i5,13420H,13. Nesil,8,4.6,8 GB,DDR5,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:34,39.999 TL,https://www.trendyol.com/acer/nitro-v-15-anv15-51-intel-i5-13420h-8gb-1tb-ssd-6gb-rtx4050-15-6-fhd-ips-144hz-freedos-p-794849833?boutiqueId=61&merchantId=612301
"MateBook D14 2024 Intel Core i5-12450H 16GB 512GB SSD 14"" Windows 11 Gri Dizüstü Bilgisayar",Huawei,Ev - Okul,SPACE GRAY; Gri,2 kg ve altı,Intel Core i5,12450H,12. Nesil,8,,16 GB,LPDDR4X,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,14 inç,1920 x 1200,Full HD (FHD),Belirtilmemiş,IPS,Windows,2025-12-03 01:50:35,25.349 TL,https://www.trendyol.com/huawei/matebook-d14-2024-intel-core-i5-12450h-16gb-512gb-ssd-14-windows-11-gri-dizustu-bilgisayar-p-808210336?boutiqueId=61&merchantId=194340
"Macbook Air 13.6"" M2 8c Cpu 10c Gpu 8 Gb 512 Gb Ssd Gece Yarısı",Apple,Ofis - İş,Mavi,2 kg ve altı,Apple M2,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,4.2,,Belirtilmemiş,M2 8 Çekirdekli,Dahili,Paylaşımlı,Belirtilmemiş,,HDD Yok,13 inç,2550 x 1600,Ultra HD 4K (UHD),Belirtilmemiş,,Mac Os,2025-12-03 01:50:36,43.998 TL,https://www.trendyol.com/apple/macbook-air-13-6-m2-8c-cpu-10c-gpu-8-gb-512-gb-ssd-gece-yarisi-p-341826642?boutiqueId=61&merchantId=579270
Victus 15-FA0008NT 80D30EA i5-12450H 16 GB 512 GB SSD RTX-3050 15.6'' W11H FHD Dizüstü Bilgisayar,HP,Oyun,Mavi,2 - 4 kg,Intel Core i5,12450H,12. Nesil,8,,16 GB,DDR4,Nvidia GeForce RTX 3050,Harici,4 GB ve altı,GDDR6,512 GB,500 GB,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,Mikro Kenarlı,Windows,2025-12-03 01:50:37,34.445 TL,https://www.trendyol.com/hp/victus-15-fa0008nt-80d30ea-i5-12450h-16-gb-512-gb-ssd-rtx-3050-15-6-w11h-fhd-dizustu-bilgisayar-p-779237005?boutiqueId=61&merchantId=734214
"V15 G3 Intel Core i5 1235U 16GB 512GB SSD Windows 11 Home 15.6"" FHD 82TT00HDTRA190",LENOVO,Ev - Okul,Siyah,2 kg ve altı,Intel Core i5,1235U,12. Nesil,10,4.4,16 GB,DDR4,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Windows,2025-12-03 01:50:39,26.749 TL,https://www.trendyol.com/lenovo/v15-g3-intel-core-i5-1235u-16gb-512gb-ssd-windows-11-home-15-6-fhd-82tt00hdtra190-p-831880759?boutiqueId=61&merchantId=125175
"Ideapad 1 AMD Ryzen 7 5700U 16GB 512GB SSD Freedos 15.6"" FHD Notebook 82R400HLTR",LENOVO,Ofis - İş,Gri,2 kg ve altı,AMD Ryzen 7,5700U,5. Nesil,8,,16 GB,DDR4,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:40,25.999 TL,https://www.trendyol.com/lenovo/ideapad-1-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-fhd-notebook-82r400hltr-p-797844405?boutiqueId=61&merchantId=105061
KATANA 17 B13VFK-872XTR i7-13620H 32GB DDR5 1TB SSD 8GB RTX4060 17.3 144Hz DOS NOTEBOOK,MSI,Oyun,Siyah,2 - 4 kg,Intel Core i7,13620H,13. Nesil,16,,32 GB,DDR5,Nvidia GeForce RTX 4060,Harici,8 GB,DDR5,1 TB,HDD Yok,"17,3 inç",1920 x 1080,Full HD (FHD),144 Hz,VA,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:41,94.999 TL,https://www.trendyol.com/msi/katana-17-b13vfk-872xtr-i7-13620h-32gb-ddr5-1tb-ssd-8gb-rtx4060-17-3-144hz-dos-notebook-p-768119706?boutiqueId=61&merchantId=557390
"IdeaPad Slim3 Intel Core i5-13420H 16GB 512GB SSD 15.3"" WUXGA FreeDOS  Dizüstü Bilgisayar 83K1003MTR",LENOVO,Ofis - İş,Gri,2 kg ve altı,Intel Core i5,13420H,13. Nesil,8,4.6,16 GB,DDR5,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,4 inç",1920 x 1200,WUXGA,60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:43,22.999 TL,https://www.trendyol.com/lenovo/ideapad-slim3-intel-core-i5-13420h-16gb-512gb-ssd-15-3-wuxga-freedos-dizustu-bilgisayar-83k1003mtr-p-898876056?boutiqueId=61&merchantId=1018234
"IdeaPad Slim3 Intel Core i5-12450H 8GB 512GB SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar 83ER00FXTR",LENOVO,Ofis - İş,Gri,2 kg ve altı,Intel Core i5,12450H,12. Nesil,8,4.4,8 GB,DDR5,Intel UHD Graphics,Dahili,Paylaşımlı,SD,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Linux,2025-12-03 01:50:44,"22.498,50 TL",https://www.trendyol.com/lenovo/ideapad-slim3-intel-core-i5-12450h-8gb-512gb-ssd-15-6-fhd-freedos-dizustu-bilgisayar-83er00fxtr-p-860978211?boutiqueId=61&merchantId=782378
"Macbook Air M2 16gb 256gb Ssd Macos 13"" Taşınabilir Bilgisayar Uzay Grisi Mc7u4tu/a",Apple,Ofis - İş,Uzay Grisi; Gri,2 kg ve altı,Apple M2,Belirtilmemiş,2. Nesil,8,,16 GB,Birleşik Bellek,M2 8 Çekirdekli,Dahili,8 GB,Dahili,256 GB,HDD Yok,"13,6 inç",2560 x 1600,Ultra HD 4K (UHD),120 Hz,,Mac Os,2025-12-03 01:50:45,39.929 TL,https://www.trendyol.com/apple/macbook-air-m2-16gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-uzay-grisi-mc7u4tu-a-p-871069140?boutiqueId=61&merchantId=787811
"Vostro 3520 Intel Core i5-1235U 16GB 512 GB SSD 120Hz 15.6"" Windows 11 Pro N1605PVNB3520T37",Dell,Ofis - İş,Siyah,2 kg ve altı,Intel Core i5,1235U,12. Nesil,10,4.4,16 GB,DDR4,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,VA,Windows,2025-12-03 01:50:46,24.999 TL,https://www.trendyol.com/dell/vostro-3520-intel-core-i5-1235u-16gb-512-gb-ssd-120hz-15-6-windows-11-pro-n1605pvnb3520t37-p-796126166?boutiqueId=61&merchantId=228212
"Aspire3 A315-59 Intel Core i5-1235U 8GB 512GB SSD 15.6"" FullHD Win11 Dizüstü Bilgisayar NX.K6TEY.002",ACER,Ofis - İş,Renkli; Gri,2 kg ve altı,Intel Core i5,1235U,12. Nesil,10,4.4,8 GB,Belirtilmemiş,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Windows,2025-12-03 01:50:48,17.999 TL,https://www.trendyol.com/acer/aspire3-a315-59-intel-core-i5-1235u-8gb-512gb-ssd-15-6-fullhd-win11-dizustu-bilgisayar-nx-k6tey-002-p-867246556?boutiqueId=61&merchantId=767609
Katana 17 B13vfk-1037xtr Intel Core I7 13620h 16gb 1tb Ssd Rtx4060 Freedos 17.3 Fhd 144hz Taşına,MSI,Oyun,Siyah,2 - 4 kg,Intel Core i7,13620H,13. Nesil,10,,16 GB,DDR5,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,1 TB,HDD Yok,"17,3 inç",1920 x 1080,Full HD (FHD),144 Hz,Full HD,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:49,78.200 TL,https://www.trendyol.com/msi/katana-17-b13vfk-1037xtr-intel-core-i7-13620h-16gb-1tb-ssd-rtx4060-freedos-17-3-fhd-144hz-tasina-p-808556156?boutiqueId=61&merchantId=141868
"Nirvana X600.1235-DF00X-G-F Intel Core i5-1235U 32GB RAM 1TB NVMe SSD FREEDOS 15.6"" Laptop",CASPER,Ofis - İş,Metalik Gri; Gri,2 kg ve altı,Intel Core i5,1235U,12. Nesil,10,4.4,32 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Free Dos (İşletim Sistemi Yok),2025-12-03 01:50:50,28.750 TL,https://www.trendyol.com/casper/nirvana-x600-1235-df00x-g-f-intel-core-i5-1235u-32gb-ram-1tb-nvme-ssd-freedos-15-6-laptop-p-786588766?boutiqueId=61&merchantId=859378
"13-inch MacBook Air:  M3 chip with 8-core CPU and 8-core GPU, 8GB, 256GB SSD - Midnight",Apple,Ofis - İş,Gece Yarısı; Mavi,2 kg ve altı,Apple M3,Belirtilmemiş,3. Nesil,8,,8 GB,Birleşik Bellek,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,256 GB,HDD Yok,"13,6 inç",2560 x 1664,QHD,Belirtilmemiş,,Mac Os,2025-12-03 01:50:56,"49.998,99 TL",https://www.trendyol.com/apple/13-inch-macbook-air-apple-m3-chip-with-8-core-cpu-and-8-core-gpu-8gb-256gb-ssd-midnight-p-814750695?boutiqueId=61&merchantId=925023
"MateBook D16 Intel Core i5-13420H 16GB 1TB SSD 16"" Windows 11 Gri Dizüstü Bilgisayar",Huawei,Ofis - İş,Gri,2 kg ve altı,Intel Core i5,13420H,13. Nesil,8,4.6,16 GB,LPDDR4X,Intel HD Graphics 615,Dahili,Paylaşımlı,Dahili,1 TB,HDD Yok,16 inç,1920 x 1200,Full HD (FHD),60 Hz,IPS,Windows,2025-12-03 01:50:59,45.999 TL,https://www.trendyol.com/huawei/matebook-d16-intel-core-i5-13420h-16gb-1tb-ssd-16-windows-11-gri-dizustu-bilgisayar-p-800344561?boutiqueId=61&merchantId=797201
"LOQ Intel Core i5-12600HX 24GB 512GB SSD RTX3050 6GB GDDR6 FreeDOS 15.6"" IPS FHD Gaming Laptop",LENOVO,Oyun,Gri,2 - 4 kg,Intel Core i5,12600HX,12. Nesil,12+,4.6,24 GB,DDR5,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:51:03,34.589 TL,https://www.trendyol.com/lenovo/loq-intel-core-i5-12600hx-24gb-512gb-ssd-rtx3050-6gb-gddr6-freedos-15-6-ips-fhd-gaming-laptop-p-898876739?boutiqueId=61&merchantId=767609
"Inspiron 3520 Intel Core i5-1235U 16GB 512GB SSD 15.6"" FHD Linux Siyah Dizüstü Bilgisayar",Dell,Ofis - İş,Siyah,2 kg ve altı,Intel Core i5,1235U,12. Nesil,10,4.4,16 GB,DDR4,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,,Linux,2025-12-03 01:51:05,32.999 TL,https://www.trendyol.com/dell/inspiron-3520-intel-core-i5-1235u-16gb-512gb-ssd-15-6-fhd-linux-siyah-dizustu-bilgisayar-p-773499308?boutiqueId=61&merchantId=192739
"IdeaPad3 Intel Core i3-1215U 8GB 256GB SSD 15.6"" FHD DOS Arctic Grey Dizüstü Bilgisayar 82RK011BTX",LENOVO,Ofis - İş,Gri,2 kg ve altı,Intel Core i3,1215U,12. Nesil,6,4.3,8 GB,DDR4,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,256 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,,Free Dos (İşletim Sistemi Yok),2025-12-03 01:51:07,21.999 TL,https://www.trendyol.com/lenovo/ideapad3-intel-core-i3-1215u-8gb-256gb-ssd-15-6-fhd-dos-arctic-grey-dizustu-bilgisayar-82rk011btx-p-832741074?boutiqueId=61&merchantId=557390
"14"" MacBook Pro:  M4 chip with 10‑core CPU and 10‑core GPU, 16GB, 512GB SSD - Uzay Siyahı",Apple,Ofis - İş,Belirtilmemiş; Siyah,2 kg ve altı,Apple M4,Belirtilmemiş,Belirtilmemiş,10,3.5,16 GB,Birleşik Bellek,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"14,2 inç",3024 x 1964,Retina,120 Hz,,Mac Os,2025-12-03 01:51:09,87.989 TL,https://www.trendyol.com/apple/14-macbook-pro-apple-m4-chip-with-10-core-cpu-and-10-core-gpu-16gb-512gb-ssd-uzay-siyahi-p-872448756?boutiqueId=61&merchantId=141868
"Victus Intel Core i5-14500HX 16GB 512GB SSD RTX4060 120W 16.1"" 144Hz IPS DOS Gaming Laptop 9J276EA",HP,Oyun,Siyah,2 - 4 kg,Intel Core i5,14500HX,14. Nesil,14,4.9,16 GB,DDR5,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,512 GB,HDD Yok,"16,1 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:51:10,46.199 TL,https://www.trendyol.com/hp/victus-intel-core-i5-14500hx-16gb-512gb-ssd-rtx4060-120w-16-1-144hz-ips-dos-gaming-laptop-9j276ea-p-818367974?boutiqueId=61&merchantId=454192
"15-inch MacBook Air:  M2 chip with 8-core CPU and 10-core GPU, 256GB - Space Grey",Apple,Ofis - İş,Uzay Grisi; Gri,2 kg ve altı,Apple M2,Belirtilmemiş,2. Nesil,8,4.2,8 GB,LPDDR5,M2 10 Çekirdekli,Dahili,8 GB,DDR5,256 GB,256 GB,15 inç,2880 x 1800,QHD,120 Hz,,Mac Os,2025-12-03 01:51:11,59.999 TL,https://www.trendyol.com/apple/15-inch-macbook-air-apple-m2-chip-with-8-core-cpu-and-10-core-gpu-256gb-space-grey-p-736178354?boutiqueId=683803&merchantId=968
"Cyborg 15 A13VF-1204XTR i5-13420H 16GB DDR5 1TB 8GB RTX4060 GDDR6 15.6"" 144Hz FreeDOS Full HD No",MSI,Ofis - İş,Siyah,2 kg ve altı,Intel Core i5,13420H,13. Nesil,8,2.1,16 GB,DDR5,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 01:51:12,47.999 TL,https://www.trendyol.com/msi/cyborg-15-a13vf-1204xtr-i5-13420h-16gb-ddr5-1tb-8gb-rtx4060-gddr6-15-6-144hz-freedos-full-hd-no-p-827736647?boutiqueId=61&merchantId=857450
"Vivobook Go 15 AMD Ryzen 5 7520U 8GB 512GB SSD 15.6"" FHD Freedos Laptop, Notebook E1504FA-NJ115",ASUS,Ofis - İş,Gümüş,2 kg ve altı,AMD Ryzen 5,7520U,7. Nesil,4,4.3,8 GB,LPDDR5,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 01:51:14,17.990 TL,https://www.trendyol.com/asus/vivobook-go-15-amd-ryzen-5-7520u-8gb-512gb-ssd-15-6-fhd-freedos-laptop-notebook-e1504fa-nj115-p-773519238?boutiqueId=61&merchantId=114271
